trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.25, 'e': 0.08999999999999919}",20,16,8.705551288821585,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.25, 'e': 0.08499999999999919}",25,17,15.462227540512263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.25, 'e': 0.07999999999999918}",25,11,22.894787106702505,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.25, 'e': 0.07499999999999918}",25,11,26.666305289418727,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.25, 'e': 0.06999999999999917}",25,9,22.405484024723,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.25, 'e': 0.06499999999999917}",20,14,11.329474663519461,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.25, 'e': 0.05999999999999917}",20,13,14.01638893619705,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.25, 'e': 0.054999999999999175}",30,19,19.02996214233433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.25, 'e': 0.04999999999999918}",20,15,10.521904359742063,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,11,28.686319798798714,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,12.193492088280152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,14.449975128431358,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,14,33.41185177146194,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,19.402060675714843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
